"dataElement","period","orgUnit","categoryOptionCombo","attributeOptionCombo","value","storedBy","created","lastUpdated","followUp","comment"
"OGhGWM5qXlg","2016Q1","l4wFmU7ozI5","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:14:06.061+0000","2016-04-14T18:14:06.059+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","l4wFmU7ozI5","wGxoultJedR","wGxoultJedR","15","Gonleyen","2016-04-14T18:14:16.874+0000","2016-04-14T18:14:16.872+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","l4wFmU7ozI5","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T18:14:26.531+0000","2016-04-14T18:14:26.530+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","Cr3Wn6726c6","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:18:30.988+0000","2016-04-14T18:18:30.986+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","Cr3Wn6726c6","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:18:31.462+0000","2016-04-14T18:18:31.460+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","N0HDYodt6vJ","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:18:54.135+0000","2016-04-14T18:18:54.133+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:20:03.186+0000","2016-04-14T17:20:03.185+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:20:07.587+0000","2016-04-14T17:20:07.584+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:20:08.306+0000","2016-04-14T17:20:08.304+0000",FALSE,NA
"OGhGWM5qXlg","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:20:08.919+0000","2016-04-14T17:20:08.917+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","15","Gonleyen","2016-04-14T17:20:17.567+0000","2016-04-14T17:21:25.409+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","Qdfau7fR5W1","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:50:25.530+0000","2016-04-14T17:57:40.334+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","vvzUS18bxdi","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:46:33.165+0000","2016-04-14T17:58:05.313+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","vCil7BC8hvt","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:58:42.184+0000","2016-04-14T17:58:42.182+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","vCil7BC8hvt","wGxoultJedR","wGxoultJedR","11","Gonleyen","2016-04-14T17:58:48.324+0000","2016-04-14T17:58:48.322+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","vCil7BC8hvt","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:58:51.499+0000","2016-04-14T17:58:51.497+0000",FALSE,NA
"ZjX6dK8ZNm4","2016Q1","vCil7BC8hvt","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T17:59:04.097+0000","2016-04-14T17:59:04.095+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","vCil7BC8hvt","wGxoultJedR","wGxoultJedR","5","Gonleyen","2016-04-14T17:59:06.761+0000","2016-04-14T17:59:06.759+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","vCil7BC8hvt","wGxoultJedR","wGxoultJedR","5","Gonleyen","2016-04-14T17:59:12.491+0000","2016-04-14T17:59:12.489+0000",FALSE,NA
"lfhUkDW78Ir","2016Q1","vCil7BC8hvt","wGxoultJedR","wGxoultJedR","false","Gonleyen","2016-04-14T17:59:12.587+0000","2016-04-14T17:59:42.085+0000",FALSE,"January and  February"
"OkdjDuBoeN2","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:00:12.813+0000","2016-04-14T18:00:12.811+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:00:14.370+0000","2016-04-14T18:00:14.368+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:00:14.794+0000","2016-04-14T18:00:14.792+0000",FALSE,NA
"OGhGWM5qXlg","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:00:15.322+0000","2016-04-14T18:00:15.320+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","5","Gonleyen","2016-04-14T18:00:18.234+0000","2016-04-14T18:00:18.231+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:00:21.409+0000","2016-04-14T18:00:21.407+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T18:00:35.233+0000","2016-04-14T18:00:35.230+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","r4vNTIbYYkI","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T18:00:40.352+0000","2016-04-14T18:00:40.350+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","tVmbYBtqj9r","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:00:57.972+0000","2016-04-14T18:00:57.970+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","tVmbYBtqj9r","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:00:58.117+0000","2016-04-14T18:00:58.115+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","tVmbYBtqj9r","wGxoultJedR","wGxoultJedR","23","Gonleyen","2016-04-14T18:01:09.844+0000","2016-04-14T18:01:09.842+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","TpSlKCM8kqK","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:01:50.583+0000","2016-04-14T18:01:50.580+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","TpSlKCM8kqK","wGxoultJedR","wGxoultJedR","7","Gonleyen","2016-04-14T18:02:11.082+0000","2016-04-14T18:02:11.080+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","TpSlKCM8kqK","wGxoultJedR","wGxoultJedR","7","Gonleyen","2016-04-14T18:02:17.840+0000","2016-04-14T18:02:17.838+0000",FALSE,NA
"lfhUkDW78Ir","2016Q1","TpSlKCM8kqK","wGxoultJedR","wGxoultJedR","false","Gonleyen","2016-04-14T18:02:17.964+0000","2016-04-14T18:02:32.277+0000",FALSE,"March 2016"
"OkdjDuBoeN2","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:02:57.265+0000","2016-04-14T18:02:57.263+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:02:57.416+0000","2016-04-14T18:02:57.414+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:02:57.924+0000","2016-04-14T18:02:57.921+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:03:04.945+0000","2016-04-14T18:03:04.943+0000",FALSE,NA
